"FIPS","Population.Estimate..2014.","County.Name","State.Abbrev","FIPS.State.Code","FIPS.County.Code","Percent.Total.Population..One.Race..2010.","Population.Wh.Non.Hisp.Lat.Male...15..2013.","Population.Wh.Non.Hisp.Lat.Male.15.19..2013.","Population.Wh.Non.Hisp.Lat.Male.20.24..2013.","Population.Wh.Non.Hisp.Lat.Male.25.44..2013.","Population.Wh.Non.Hisp.Lat.Male.45.64..2013.","Population.Wh.Non.Hisp.Lat.Male.65...2013.","Population.Wh.Non.Hisp.Lat.Female...15..2013.","Population.Wh.Non.Hisp.Lat.Female.15.19..2013.","Population.Wh.Non.Hisp.Lat.Female.20.24..2013.","Population.Wh.Non.Hisp.Lat.Female.25.44..2013.","Population.Wh.Non.Hisp.Lat.Female.45.64..2013.","Population.Wh.Non.Hisp.Lat.Female.65...2013.","Population.Black.Afr.Am.Male...15..2013.","Population.Black.Afr.Am.Male.15.19..2013.","Population.Black.Afr.Am.Male.20.24..2013.","Population.Black.Afr.Am.Male.25.44..2013.","Population.Black.Afr.Am.Male.45.64..2013.","Population.Black.Afr.Am.Male.65...2013.","Population.Black.Afr.Am.Female...15..2013.","Population.Black.Afr.Am.Female.15.19..2013.","Population.Black.Afr.Am.Female.20.24..2013.","Population.Black.Afr.Am.Female.25.44..2013.","Population.Black.Afr.Am.Female.45.64..2013.","Population.Black.Afr.Am.Female.65...2013.","Population.Am.Ind.Alaska.Nat.Male...15..2013.","Population.Am.Ind.Alaska.Nat.Male.15.19..2013.","Population.Am.Ind.Alaska.Nat.Male.20.24..2013.","Population.Am.Ind.Alaska.Nat.Male.25.44..2013.","Population.Am.Ind.Alaska.Nat.Male.45.64..2013.","Population.Am.Ind.Alaska.Nat.Male.65...2013.","Population.Am.Ind.Alaska.Nat.Femle...15..2013.","Population.Am.Ind.Alaska.Nat.Femle.15.19..2013.","Population.Am.Ind.Alaska.Nat.Femle.20.24..2013.","Population.Am.Ind.Alaska.Nat.Femle.25.44..2013.","Population.Am.Ind.Alaska.Nat.Femle.45.64..2013.","Population.Am.Ind.Alaska.Nat.Femle.65...2013.","Population.Asian.Male...15..2013.","Population.Asian.Male.15.19..2013.","Population.Asian.Male.20.24..2013.","Population.Asian.Male.25.44..2013.","Population.Asian.Male.45.64..2013.","Population.Asian.Male.65...2013.","Population.Asian.Female...15..2013.","Population.Asian.Female.15.19..2013.","Population.Asian.Female.20.24..2013.","Population.Asian.Female.25.44..2013.","Population.Asian.Female.45.64..2013.","Population.Asian.Female.65...2013.","Population.Tot.Hisp.Latino.Male...15..2013.","Population.Tot.Hisp.Latino.Male.15.19..2013.","Population.Tot.Hisp.Latino.Male.20.24..2013.","Population.Tot.Hisp.Latino.Male.25.44..2013.","Population.Tot.Hisp.Latino.Male.45.64..2013.","Population.Tot.Hisp.Latino.Male.65...2013.","Population.Tot.Hisp.Latino.Female...15..2013.","Population.Tot.Hisp.Latino.Female.15.19..2013.","Population.Tot.Hisp.Latino.Female.20.24..2013.","Population.Tot.Hisp.Latino.Female.25.44..2013.","Population.Tot.Hisp.Latino.Female.45.64..2013.","Population.Tot.Hisp.Latino.Female.65...2013.","Population.White..2013.","Population.White.Non.Hisp.Latino..2013.","Population.White.Hisp.Latino..2013.","Population.Black.Afr.Am..2013.","Population.Black.Afr.Am.Non.Hisp.Lat..2013.","Population.Black.Afr.Am.Hisp.Lat..2013.","Population.Amer.Ind.Alaska.Nat..2013.","Population.Asian..2013.","Population.Nat.Haw.Oth.Pac.Isl..2013.","Population.Two...Races..2013.","Population.Tot.Non.Hisp.Latino..2013.","Population.Tot.Hisp.Latino..2013.","Population.White.Male..2013.","Population.White.Female..2013.","Population.White.Non.Hisp.Lat.Male..2013.","Population.White.Non.Hisp.Lat.Female..2013.","Population.White.Hisp.Lat.Male..2013.","Population.White.Hisp.Lat.Female..2013.","Population.Black.African.Amer.Male..2013.","Population.Black.African.Amer.Female..2013.","Pop.Black.Afr.Am.Non.Hisp.Lat.Male..2013.","Pop.Black.Afr.Am.Non.Hisp.Lat.Female..2013.","Population.Black.Afr.Am.Hisp.Lat.Male..2013.","Population.Black.Afr.Am.Hisp.Lat.Female..2013.","Population.Amer.Ind.Alaska.Nat.Male..2013.","Population.Amer.Ind.Alaska.Nat.Female..2013.","Population.Asian.Male..2013.","Population.Nat.Haw.Oth.Pac.Isl.Male..2013.","Population.Asian.Female..2013.","Population.Nat.Haw.Oth.Pac.Isl.Female..2013.","Population.Two.or.more.Races.Male..2013.","Population.Two.or.more.Races.Female..2013.","Population.Total.Hisp.Latino.Male..2013.","Population.Total.Hisp.Latino.Female..2013.","Population.Total.Non.Hisp.Latino.Male..2013.","Population.Total.Non.Hisp.Latino.Female..2013.","Population.Male...15..2013.","Population.Male.15.19..2013.","Population.Male.20.24..2013.","Population.Male.25.44..2013.","Population.Male.45.64..2013.","Population.Male.65...2013.","Population.Female...15..2013.","Population.Female.15.19..2013.","Population.Female.20.24..2013.","Population.Female.25.44..2013.","Population.Female.45.64..2013.","Population.Female.65...2013.","Percent.Urban.Population..2010.","X3.Year.Chrnic.Lower.Resp.Dis.Death..2009.11.","Unemployment.Rate..16...2014.","X3.Yr.Mortality..Age.25.34.years..2010.12.","X3.Yr.Mortality..Age.35.44.years..2010.12.","X3.Yr.Mortality..Age.45.54.years..2010.12.","X3.Yr.Mortality..Age.55.64.years..2010.12.","X3.Yr.Mortality..Age.65.74.years..2010.12.","X3.Yr.Mortality..Age.75.84.years..2010.12.","X3.Yr.Mortality..Age.85..years..2010.12.","X3.Yr.Mortality..Age.unknown..2010.12.","X3.Year.Motor.Vehicle.Accid.Deaths..2010.12.","X3.Year.Suicide.Deaths..2010.12.","X3.Year.Homic.Legal.Intervent.Death..2010.12.","X3.Year.Other.Causes.Deaths..2010.12.","X3.Year.Average.Total.Deaths..2010.12.","X3.Year.Average.White.Male.Deaths..2010.12.","X3.Year.Average.Black.Male.Deaths..2010.12.","X3.Year.Average.Other.Male.Deaths..2010.12.","X3.Year.Average.White.Female.Deaths..2010.12.","X3.Year.Average.Black.Female.Deaths..2010.12.","X3.Year.Average.Other.Female.Deaths..2010.12.","county","state"
41000,3970239,"Oregon","OR",41,0,96.2,234656,85697,95026,391505,436308,253194,222874,81696,94702,386641,457792,305198,9017,3311,4002,13297,10037,2766,8801,2990,3227,10415,7733,3131,8563,3031,3106,10709,7689,2488,8243,2703,2943,9554,8001,2679,14138,5334,6807,24502,16894,6337,14690,5445,6998,30225,21614,8809,80401,23792,22943,80696,36917,7917,76760,22409,20194,69687,32991,9051,3464243,3045289,418954,78727,68979,9748,69709,161793,16146,139447,3446307,483758,1715126,1749117,1496386,1548903,218740,200214,42430,36297,37294,31685,5136,4612,35586,34123,74012,8309,87781,7837,68947,70500,252666,231092,1691744,1754563,363388,126014,135855,529604,514132,275417,347188,119957,132631,517926,535975,331978,81,1979,6.9,451,770,2071,4144,5351,7848,11230,NA,354,688,125,8647,32479,15586,264,442,15593,183,410,"oregon","OR"
42000,12787209,"Pennsylvania","PA",42,0,98.1,789022,312863,318728,1186800,1477604,804854,750095,300575,311418,1171750,1522634,1064472,167158,62592,68793,189435,162457,55904,161473,59288,66629,200125,186960,89648,5526,1794,1970,6521,4711,1330,5292,1587,1734,6023,4817,1670,39114,13572,16132,67032,40835,14714,39545,13880,16292,73101,45729,17417,123973,37976,39653,127996,67303,16926,117810,35264,35219,116789,67790,21619,10629648,10010815,618833,1470462,1357150,113312,42975,397363,8065,225288,11965483,808318,5209138,5420510,4889871,5120944,319267,299566,706339,764123,650155,706995,56184,57128,21852,21123,191399,3912,205964,4153,109700,115588,413827,394491,5828513,6136970,1142049,432225,445889,1574780,1752531,894866,1091962,414935,433149,1566454,1828497,1196464,78.7,6420,5.8,1848,2833,7768,14171,19487,32898,44961,NA,1435,1657,702,31153,126605,55018,5929,483,58875,5865,434,"pennsylvania","PA"
44000,1055173,"Rhode Island","RI",44,0,96.7,55156,25112,27834,91731,118869,62348,52194,25288,27397,93097,127255,85578,9436,3489,4051,11241,8370,2331,9065,3389,3815,11322,8685,3240,1274,429,483,1387,901,290,1274,410,402,1298,1069,439,3117,1278,1852,6019,3165,1075,3197,1545,2367,6453,3722,1267,20879,7319,7642,21333,11527,2723,19513,6627,7097,20996,13358,3839,900339,791859,108480,78434,58130,20304,9656,35057,1722,26303,908658,142853,435643,464696,381050,410809,54593,53887,38918,39516,29023,29107,9895,10409,4764,4892,16506,852,18551,870,12744,13559,71423,71430,438004,470654,89768,37437,41362,130178,142066,68616,85298,37267,40809,131596,152916,94198,90.7,515,7.7,116,203,564,1037,1322,2344,3764,NA,81,112,26,2338,9505,4317,154,61,4790,135,48,"rhode island","RI"
45000,4832482,"South Carolina","SC",45,0,98.3,251503,93069,104901,368978,420557,254095,240098,86362,99515,374073,448504,309949,146074,51315,57781,159835,152776,57762,142748,49823,58907,182849,185333,86316,2967,955,1207,4098,3194,1018,2795,849,921,3540,3035,1127,6735,2197,3546,11301,7133,2471,7283,2100,2749,12856,9218,3471,40495,10649,12851,51837,19440,4231,38708,8991,9108,36971,16587,4912,3263392,3051604,211788,1331519,1309180,22339,25706,71060,4357,78805,4520059,254780,1609719,1653673,1493103,1558501,116616,95172,625543,705976,613932,695248,11611,10728,13439,12267,33383,2307,37677,2050,38728,40077,139503,115277,2183616,2336443,458606,160713,182092,596105,605030,320573,442576,150631,173236,612881,665201,407195,66.3,2328,6.4,808,1349,3566,6250,8044,10232,10930,NA,850,656,357,10829,42295,15711,5563,130,15455,5322,114,"south carolina","SC"
46000,853175,"South Dakota","SD",46,0,97.9,66051,22703,24477,86503,99160,53166,62252,21510,22948,81914,97747,65216,2100,783,1046,3286,1668,456,1837,617,631,1725,945,641,12681,3587,3396,9420,6339,1793,12278,3468,3224,9771,6845,2431,1037,397,726,1665,773,172,1097,373,536,1658,1088,341,5137,1355,1537,4689,2055,644,4712,1257,1235,3602,1667,835,725386,703647,21739,15735,15004,731,75233,9863,622,18038,816152,28725,363748,361638,352060,351587,11688,10051,9339,6396,8909,6095,430,301,37216,38017,4770,329,5093,293,8976,9062,15417,13308,408961,407191,89795,29480,31708,106450,110552,56393,84893,27939,29141,99771,108985,69770,56.7,459,3.4,121,165,419,768,1059,1776,2723,NA,132,136,23,1642,7249,3264,18,331,3364,NA,263,"south dakota","SD"
47000,6549352,"Tennessee","TN",47,0,98.3,419747,148096,160906,605030,673039,367418,400262,140329,159680,616580,711175,463071,126460,45039,49261,142147,122535,37867,123434,44493,50216,160369,146680,58682,3113,1078,1147,4692,3572,1286,3033,926,1006,3544,3354,1165,10960,3286,4074,18058,10410,3285,11774,3352,3887,20051,12864,4586,55802,13225,14741,61590,22131,4635,53217,11855,11644,46702,18798,5397,5139359,4865333,274026,1107183,1088867,18316,27916,106587,5935,108998,6176241,319737,2522233,2617126,2374236,2491097,147997,126029,523309,583874,513991,574876,9318,8998,14888,13028,50073,3175,56514,2760,53416,55582,172124,147613,2994970,3181271,632526,214445,232538,834744,836139,416702,607902,204642,229454,853104,898108,535674,66.4,3571,6.7,1177,2043,5220,8828,11346,14833,15712,NA,1057,959,447,14034,60692,26184,4230,143,25972,4027,136,"tennessee","TN"
48000,26956958,"Texas","TX",48,0,97.3,981852,345219,381502,1508691,1669269,880672,930138,321262,360238,1484608,1706080,1078727,384820,132816,141054,458874,365393,105604,373631,126373,136945,494313,409595,154963,34250,11522,12415,42412,29694,8116,32872,11205,10916,38745,28207,9075,120467,35096,42507,196192,126186,40902,115917,33841,38446,211164,139041,50210,1488035,448529,443713,1548989,920949,275075,1433318,424692,408190,1466162,937034,358459,21240620,11648258,9592362,3284381,3089995,194386,269429,1149969,35333,468461,16295048,10153145,10608801,10631819,5767205,5881053,4841596,4750766,1588561,1695820,1492854,1597141,95707,98679,138409,131020,561350,17933,588619,17400,231948,236513,5125290,5027855,8021712,8273336,3012501,971607,1016417,3729872,3104118,1312487,2887923,915489,951812,3676283,3216004,1653680,84.7,8889,5.1,3672,5742,14181,24316,29514,41325,45225,NA,3422,2941,1356,41585,169785,75205,10356,1356,71564,10080,1223,"texas","TX"
49000,2942902,"Utah","UT",49,0,97.3,291862,85974,96265,322402,241619,119620,276416,83271,93634,315854,245584,140100,6152,1878,2262,6809,3745,681,5557,1629,1732,4569,2409,726,6212,2000,2133,6597,3886,952,6060,1881,2056,6074,4170,1149,6563,2305,3373,10607,6271,2028,6853,2254,3587,12082,7605,2876,66542,18616,18343,62451,28124,6308,63443,17290,16615,55287,26943,7607,2658182,2312601,345581,38149,29903,8246,43170,66404,28249,66718,2513303,387569,1336176,1322006,1157742,1154859,178434,167147,21527,16622,17196,12707,4331,3915,21780,21390,31147,14612,35257,13637,33739,32979,200384,187185,1258597,1254706,389710,114156,125048,413889,285911,130267,369755,109556,120676,399546,288990,153368,90.6,633,3.8,458,562,1067,1737,2271,3688,4794,NA,265,508,59,4574,15239,7481,69,239,7197,45,208,"utah","UT"
50000,626562,"Vermont","VT",50,0,98.3,46537,20716,21272,66950,89337,45212,43409,19618,19711,67582,92925,54720,997,460,527,1223,731,174,908,445,401,848,483,167,190,83,110,303,370,131,182,79,95,248,404,129,792,406,589,1239,728,210,873,536,586,1622,1043,332,1258,604,653,1613,905,336,1202,604,646,1468,927,371,596755,587989,8766,7364,6831,533,2324,8956,213,11018,616043,10587,294463,302292,290024,297965,4439,4327,4112,3252,3815,3016,297,236,1187,1137,3964,113,4992,100,5349,5669,5369,5218,303819,312224,51461,22767,23530,72137,92901,46392,48316,21806,21773,72756,96710,56081,38.9,349,4.1,65,108,324,644,895,1388,1925,NA,72,104,NA,1348,5435,2669,11,11,2722,NA,12,"vermont","VT"
51000,8326289,"Virginia","VA",51,0,97.1,437724,160708,182618,679853,750915,384183,415637,153657,170502,667276,776700,477248,169190,61186,69320,214294,197123,66673,165058,60518,68398,227763,226559,98770,4836,1687,2569,7729,5179,1559,4654,1615,1793,6555,5020,1714,50573,14792,17253,83192,54108,18835,49646,14255,16584,95704,65793,24579,100821,28239,34034,137650,59198,11018,96641,26709,28184,115852,58869,15575,5851796,5257021,594775,1624852,1569795,55057,44910,505314,9241,224292,7547615,712790,2906745,2945051,2596001,2661020,310744,284031,777786,847066,750419,819376,27367,27690,23559,21351,238753,4824,266561,4417,110535,113757,370960,341830,3691242,3856373,793352,273415,310835,1128015,1071835,484750,761687,263763,290690,1122064,1139368,620631,75.5,3031,5.2,978,1680,4488,7836,10658,15114,18118,NA,791,1027,362,15330,60467,23309,6000,622,24075,5892,568,"virginia","VA"
53000,7061530,"Washington","WA",53,0,95.3,395263,141427,165523,656851,728938,376776,375275,133973,152450,629400,743973,450490,31670,10638,14299,48555,35875,9106,30155,9589,11387,37877,28531,10062,17220,5359,6014,19055,14007,4043,16220,5047,5377,17641,14648,4884,49485,16184,21060,87610,58219,22787,48335,16211,20796,100366,75599,34026,140751,39351,40600,138866,61551,13464,135462,36645,34932,119736,55562,15329,5659216,4950339,708877,277744,254344,23400,129515,550678,47833,306420,6139157,832249,2835765,2823451,2464778,2485561,370987,337890,150143,127601,137904,116440,12239,11161,65698,63817,255345,24208,295333,23625,151511,154909,434583,397666,3048087,3091070,679650,225592,257907,975533,913303,430685,649167,213899,236018,933864,935389,520399,84,2917,6.2,780,1266,3313,6346,8073,11848,16582,NA,541,1005,216,12073,49314,22834,764,1357,22477,579,1304,"washington","WA"
54000,1850326,"West Virginia","WV",54,0,98.5,144661,52017,56568,208380,245711,137350,137823,48936,55960,206875,254339,169642,6282,2887,3701,10700,9293,3074,5991,2544,2617,7373,8034,4144,287,121,191,679,752,279,277,118,138,500,674,287,1099,403,924,2200,1381,662,1286,391,741,2660,1782,849,3492,1182,1375,4555,2280,807,3365,1093,1188,3297,2034,1034,1740103,1718262,21841,66640,64997,1643,4303,14378,555,28325,1828602,25702,856279,883824,844687,873575,11592,10249,35937,30703,35051,29946,886,757,2309,1994,6669,281,7709,274,14101,14224,13691,12011,901885,926717,161553,57955,63670,228349,261029,143020,154447,54315,61654,222682,268609,177021,48.7,1514,6.5,414,701,1618,2972,4020,5717,5825,NA,349,304,103,5127,21686,10568,343,17,10437,300,21,"west virginia","WV"
55000,5757564,"Wisconsin","WI",55,0,98.2,398215,149795,155676,576103,713682,355464,377726,144289,151052,559126,715257,443328,50822,17593,18075,50875,36932,10143,49205,16142,17429,53359,40862,14424,8473,2633,2855,8964,6964,1946,8249,2332,2625,8492,7224,2455,18260,6132,8476,24015,10644,3152,18642,5971,8230,25288,12002,4486,63755,16991,15827,60964,26722,5745,60782,15911,14454,51997,24042,6735,5057257,4739713,317544,375861,359618,16243,63212,145298,2718,98367,5378788,363925,2515421,2541836,2348935,2390778,166486,151058,184440,191421,176336,183282,8104,8139,31835,31377,70679,1418,74619,1300,48367,50000,190004,173921,2662156,2716632,553701,196628,203040,724072,797332,377387,529021,188096,196273,702520,802063,472580,70.2,2517,5.5,672,1056,2917,5410,7358,12127,17444,NA,633,754,171,12096,48034,22057,1177,353,23028,1088,331,"wisconsin","WI"
56000,584153,"Wyoming","WY",56,0,97.8,45940,15477,18154,65123,70688,33758,43663,14297,16394,59991,68883,37692,800,492,773,1779,1350,587,690,472,432,972,1013,826,2253,668,689,2173,1557,441,2173,602,662,1967,1543,530,436,197,347,867,452,207,449,168,221,1095,723,344,8488,2525,2612,8958,5177,1795,8115,2363,2180,7351,4632,2167,539936,490060,49876,10186,9182,1004,15258,5506,630,11142,526295,56363,275293,264643,249140,240920,26153,23723,5781,4405,5249,3933,532,472,7781,7477,2506,331,3000,299,5586,5556,29555,26808,267723,258572,59070,19661,22834,79227,79513,36973,56267,18244,20169,71828,77156,41716,64.8,323,4.3,109,139,357,602,760,1067,1259,NA,116,145,17,1006,4435,2225,16,74,2048,13,60,"wyoming","WY"
